contract_id,supplier_id,contract_value_million,contract_type,award_date,expected_duration_months,status
CTR01370,SUP0050,7.42,Sustainment,2020-06-04,18,completed
CTR01371,SUP0205,3.75,Production,2022-09-24,39,active
CTR01372,SUP0348,1.3,Production,2024-08-07,41,active
CTR01373,SUP0422,4.75,Production,2023-04-16,35,active
CTR01374,SUP0285,5.91,Tech Services,2024-12-08,30,delayed
CTR01375,SUP0168,3.34,Tech Services,2020-07-06,7,active
CTR01376,SUP0088,4.08,Tech Services,2021-02-02,41,active
CTR01377,SUP0020,1.65,Production,2023-12-20,23,active
CTR01378,SUP0280,2.71,Production,2020-08-30,10,terminated
CTR01379,SUP0274,2.6,R&D,2021-12-12,24,completed
CTR01380,SUP0201,6.59,R&D,2022-10-23,47,completed
CTR01381,SUP0070,6.41,Tech Services,2022-03-08,23,completed
CTR01382,SUP0121,6.26,Tech Services,2023-11-26,37,completed
CTR01383,SUP0011,0.04,Sustainment,2023-07-12,26,delayed
CTR01384,SUP0303,4.85,Tech Services,2024-11-08,15,delayed
CTR01385,SUP0224,4.98,R&D,2025-02-18,42,active
CTR01386,SUP0312,3.97,R&D,2020-07-18,54,delayed
CTR01387,SUP0183,4.94,R&D,2025-02-23,27,completed
CTR01388,SUP0461,6.46,Production,2021-08-28,18,terminated
CTR01389,SUP0483,2.22,Production,2025-02-10,22,active
CTR01390,SUP0192,2.44,Tech Services,2022-02-17,14,active
CTR01391,SUP0095,0.47,Sustainment,2024-11-16,29,completed
CTR01392,SUP0327,1.7,Sustainment,2024-08-28,49,completed
CTR01393,SUP0416,3.61,Sustainment,2023-10-08,19,completed
CTR01394,SUP0269,5.31,Production,2020-06-29,51,delayed
CTR01395,SUP0335,0.86,R&D,2021-01-16,13,active
CTR01396,SUP0454,0.52,R&D,2022-06-14,42,completed
CTR01397,SUP0402,3.81,Production,2023-05-07,24,terminated
CTR01398,SUP0122,0.01,Sustainment,2025-04-21,33,active
CTR01399,SUP0405,0.69,Sustainment,2023-06-09,51,active
CTR01400,SUP0253,0.1,Tech Services,2020-08-01,46,delayed
CTR01401,SUP0106,0.64,Tech Services,2023-06-12,35,active
CTR01402,SUP0283,0.7,Sustainment,2022-06-01,12,completed
CTR01403,SUP0028,1.72,Production,2024-03-04,31,completed
CTR01404,SUP0405,1.8,Sustainment,2023-01-23,45,terminated
CTR01405,SUP0219,7.26,Tech Services,2023-01-20,51,active
CTR01406,SUP0126,2.5,Sustainment,2022-04-27,59,active
CTR01407,SUP0214,4.5,Production,2025-04-08,51,delayed
CTR01408,SUP0271,0.38,R&D,2024-11-03,16,completed
CTR01409,SUP0438,0.89,Production,2023-10-12,19,terminated
CTR01410,SUP0091,4.25,Production,2022-12-12,26,completed
CTR01411,SUP0213,0.19,Tech Services,2020-11-09,13,active
CTR01412,SUP0294,2.33,Production,2021-06-16,8,active
CTR01413,SUP0328,3.2,Production,2022-01-17,33,terminated
CTR01414,SUP0451,3.23,Tech Services,2023-08-21,34,active
CTR01415,SUP0475,0.08,Tech Services,2024-11-30,28,terminated
CTR01416,SUP0095,1.36,R&D,2023-01-05,23,terminated
CTR01417,SUP0497,3.54,Sustainment,2022-04-01,40,completed
CTR01418,SUP0480,0.56,Production,2024-08-20,18,terminated
CTR01419,SUP0236,4.16,Tech Services,2025-03-20,17,active
CTR01420,SUP0496,4.8,R&D,2025-04-29,52,delayed
CTR01421,SUP0231,14.05,Sustainment,2022-09-12,55,delayed
CTR01422,SUP0050,0.82,Tech Services,2024-06-24,10,active
CTR01423,SUP0007,6.1,Sustainment,2024-11-02,44,delayed
CTR01424,SUP0114,2.57,Sustainment,2022-08-16,16,delayed
CTR01425,SUP0062,1.64,Production,2020-06-03,16,terminated
CTR01426,SUP0396,0.46,Production,2022-11-13,52,delayed
CTR01427,SUP0225,4.65,Tech Services,2023-05-19,47,delayed
CTR01428,SUP0214,0.94,Sustainment,2021-08-25,52,delayed
CTR01429,SUP0019,1.63,Tech Services,2023-08-05,36,completed
CTR01430,SUP0088,0.23,Tech Services,2023-02-23,36,active
CTR01431,SUP0158,5.66,Sustainment,2022-03-05,18,terminated
CTR01432,SUP0377,5.09,Tech Services,2021-02-26,19,delayed
CTR01433,SUP0324,4.63,Sustainment,2022-04-17,54,active
CTR01434,SUP0001,1.25,Sustainment,2020-06-02,50,delayed
CTR01435,SUP0079,0.67,Sustainment,2020-12-25,47,completed
CTR01436,SUP0020,3.55,Sustainment,2022-04-03,30,completed
CTR01437,SUP0190,2.4,R&D,2024-03-26,38,delayed
CTR01438,SUP0097,0.69,Sustainment,2023-08-26,38,delayed
CTR01439,SUP0379,4.05,Production,2021-06-23,20,delayed
CTR01440,SUP0359,16.54,Production,2023-11-27,21,completed
CTR01441,SUP0312,4.81,Production,2021-08-01,49,completed
CTR01442,SUP0443,4.71,Sustainment,2025-04-27,43,active
CTR01443,SUP0340,10.51,Production,2021-03-10,11,terminated
CTR01444,SUP0072,0.79,R&D,2024-05-27,49,terminated
CTR01445,SUP0420,2.92,Tech Services,2024-11-09,30,completed
CTR01446,SUP0269,13.63,Sustainment,2023-03-24,20,terminated
CTR01447,SUP0183,0.63,Production,2023-04-19,9,delayed
CTR01448,SUP0273,4.22,R&D,2024-10-10,9,active
CTR01449,SUP0243,3.09,Tech Services,2021-04-06,35,completed
CTR01450,SUP0340,3.09,R&D,2022-01-14,39,completed
CTR01451,SUP0223,4.19,Production,2020-11-08,32,terminated
CTR01452,SUP0028,9.29,R&D,2025-05-11,36,delayed
CTR01453,SUP0487,5.34,Tech Services,2024-06-09,37,active
CTR01454,SUP0202,0.2,Production,2023-01-25,49,terminated
CTR01455,SUP0085,6.7,Tech Services,2022-02-15,44,completed
CTR01456,SUP0401,0.89,R&D,2023-05-15,57,completed
CTR01457,SUP0395,1.66,Sustainment,2023-05-18,14,terminated
CTR01458,SUP0365,2.17,Sustainment,2022-04-18,46,delayed
CTR01459,SUP0389,2.29,Sustainment,2020-11-21,13,active
CTR01460,SUP0478,2.0,Sustainment,2023-09-13,19,active
CTR01461,SUP0189,9.7,Tech Services,2020-05-12,38,active
CTR01462,SUP0337,4.28,Sustainment,2020-05-23,28,active
CTR01463,SUP0269,3.49,Tech Services,2020-06-08,26,delayed
CTR01464,SUP0026,0.18,Production,2022-05-11,17,completed
CTR01465,SUP0317,8.2,Sustainment,2025-02-22,7,completed
CTR01466,SUP0494,8.4,Tech Services,2023-08-22,18,active
CTR01467,SUP0144,5.3,Sustainment,2023-04-03,9,active
CTR01468,SUP0392,0.02,Sustainment,2023-04-28,25,active
CTR01469,SUP0282,0.21,Sustainment,2024-07-04,55,terminated
CTR01470,SUP0367,0.89,Tech Services,2021-12-23,56,terminated
CTR01471,SUP0258,0.49,R&D,2024-08-04,53,completed
CTR01472,SUP0180,1.78,Sustainment,2023-11-05,19,completed
CTR01473,SUP0193,8.96,Sustainment,2024-11-13,35,active
CTR01474,SUP0043,2.24,Production,2023-03-15,34,terminated
CTR01475,SUP0194,0.05,R&D,2024-11-19,13,delayed
CTR01476,SUP0414,1.16,Tech Services,2020-05-30,17,terminated
CTR01477,SUP0058,0.16,Production,2022-03-02,46,completed
CTR01478,SUP0257,0.13,Sustainment,2024-07-03,43,terminated
CTR01479,SUP0032,1.13,Production,2025-04-04,31,completed
CTR01480,SUP0365,1.13,Production,2023-05-12,55,active
CTR01481,SUP0181,5.41,Sustainment,2020-11-18,7,delayed
CTR01482,SUP0314,12.89,R&D,2020-05-14,45,active
CTR01483,SUP0173,1.62,R&D,2022-05-14,19,active
CTR01484,SUP0155,1.96,Production,2021-11-01,11,delayed
CTR01485,SUP0134,6.52,Sustainment,2021-12-09,47,delayed
CTR01486,SUP0410,1.09,Tech Services,2021-12-19,45,delayed
CTR01487,SUP0170,0.6,Production,2022-11-15,36,completed
CTR01488,SUP0466,6.71,Tech Services,2021-09-17,22,active
CTR01489,SUP0443,0.17,Production,2022-01-23,30,completed
CTR01490,SUP0258,3.38,Production,2021-04-25,37,delayed
CTR01491,SUP0443,2.89,Sustainment,2022-09-28,17,completed
CTR01492,SUP0208,1.49,Sustainment,2021-02-22,54,delayed
CTR01493,SUP0074,1.33,Tech Services,2021-09-26,18,terminated
CTR01494,SUP0131,5.17,Tech Services,2021-03-03,24,delayed
CTR01495,SUP0323,0.32,R&D,2022-06-15,49,active
CTR01496,SUP0428,0.95,Sustainment,2020-06-19,53,active
CTR01497,SUP0022,4.61,Production,2023-11-09,30,active
CTR01498,SUP0161,2.78,Production,2021-04-16,36,completed
CTR01499,SUP0426,0.48,R&D,2023-12-24,42,active
CTR01500,SUP0139,7.48,Sustainment,2021-08-05,30,delayed
CTR01501,SUP0045,1.75,Production,2024-12-30,21,terminated
CTR01502,SUP0369,6.16,R&D,2021-03-30,43,active
CTR01503,SUP0412,5.42,R&D,2022-09-11,48,completed
CTR01504,SUP0106,3.43,Production,2020-08-12,54,terminated
CTR01505,SUP0150,2.39,Production,2023-11-26,28,active
CTR01506,SUP0369,13.61,Tech Services,2023-11-10,19,active
CTR01507,SUP0287,0.55,Sustainment,2023-01-13,11,terminated
CTR01508,SUP0012,4.52,Tech Services,2021-04-23,30,active
CTR01509,SUP0395,0.74,R&D,2020-06-09,28,completed
CTR01510,SUP0121,1.45,Production,2023-12-25,48,delayed
CTR01511,SUP0383,1.29,Tech Services,2021-02-12,17,delayed
CTR01512,SUP0175,10.28,R&D,2022-03-29,18,terminated
CTR01513,SUP0099,11.98,Sustainment,2024-10-15,41,delayed
CTR01514,SUP0229,0.71,Production,2023-07-05,44,active
CTR01515,SUP0315,0.08,Tech Services,2020-05-18,39,active
CTR01516,SUP0270,4.46,Sustainment,2022-05-30,11,completed
CTR01517,SUP0094,1.89,Tech Services,2023-11-26,43,delayed
CTR01518,SUP0179,0.33,R&D,2020-12-14,55,terminated
CTR01519,SUP0433,4.03,Sustainment,2024-05-16,57,active
CTR01520,SUP0315,2.76,Tech Services,2022-02-25,45,terminated
CTR01521,SUP0389,13.78,Sustainment,2022-03-06,13,active
CTR01522,SUP0240,0.9,R&D,2023-06-25,13,active
CTR01523,SUP0232,1.81,Sustainment,2022-12-11,45,completed
CTR01524,SUP0354,2.74,Tech Services,2022-08-27,38,delayed
CTR01525,SUP0101,5.49,R&D,2021-05-19,39,completed
CTR01526,SUP0279,2.79,Production,2022-04-18,49,delayed
CTR01527,SUP0152,3.32,Tech Services,2020-11-14,20,terminated
CTR01528,SUP0316,0.9,Tech Services,2023-03-27,41,delayed
CTR01529,SUP0219,6.57,R&D,2020-09-24,40,terminated
CTR01530,SUP0222,1.96,R&D,2023-08-03,51,active
CTR01531,SUP0140,0.53,Production,2024-01-31,27,terminated
CTR01532,SUP0165,3.82,Tech Services,2022-07-18,28,terminated
CTR01533,SUP0315,0.85,R&D,2024-01-01,45,active
CTR01534,SUP0059,0.36,Production,2023-08-03,50,terminated
CTR01535,SUP0039,6.93,Production,2022-10-14,56,terminated
CTR01536,SUP0321,2.16,R&D,2024-08-29,27,active
CTR01537,SUP0241,4.84,Tech Services,2020-12-15,10,active
CTR01538,SUP0231,1.2,Sustainment,2023-03-28,36,active
CTR01539,SUP0237,5.41,Sustainment,2023-11-09,18,delayed
CTR01540,SUP0085,0.42,Production,2020-06-12,33,active
CTR01541,SUP0327,1.54,Sustainment,2023-10-28,25,active
CTR01542,SUP0097,13.37,Sustainment,2021-04-17,38,terminated
CTR01543,SUP0285,5.53,R&D,2024-06-16,21,completed
CTR01544,SUP0065,2.41,Production,2022-10-09,34,completed
CTR01545,SUP0262,1.45,Tech Services,2020-07-26,28,delayed
CTR01546,SUP0088,7.2,Production,2023-06-25,29,delayed
CTR01547,SUP0131,2.75,R&D,2023-01-25,39,completed
CTR01548,SUP0189,4.97,Sustainment,2025-01-02,12,completed
CTR01549,SUP0039,4.91,Tech Services,2024-10-04,43,active
CTR01550,SUP0207,0.06,Production,2023-06-09,42,terminated
CTR01551,SUP0150,0.47,Sustainment,2024-07-16,9,active
CTR01552,SUP0172,3.77,Production,2021-06-14,39,delayed
CTR01553,SUP0015,0.62,Tech Services,2023-06-13,47,completed
CTR01554,SUP0460,1.03,Production,2021-10-09,27,delayed
CTR01555,SUP0231,10.26,Production,2021-06-23,10,active
CTR01556,SUP0421,2.87,Production,2023-07-11,55,delayed
CTR01557,SUP0212,4.86,Sustainment,2020-07-17,47,delayed
CTR01558,SUP0482,2.86,Tech Services,2021-06-30,28,terminated
CTR01559,SUP0112,2.81,Tech Services,2021-09-27,59,delayed
CTR01560,SUP0184,0.35,Sustainment,2020-08-06,20,active
CTR01561,SUP0472,1.47,Sustainment,2025-04-13,36,terminated
CTR01562,SUP0223,1.16,Sustainment,2021-10-03,14,delayed
CTR01563,SUP0437,1.73,R&D,2024-08-03,48,active
CTR01564,SUP0169,5.6,Production,2022-11-22,58,completed
CTR01565,SUP0101,1.63,Production,2022-06-30,30,terminated
CTR01566,SUP0143,2.1,Tech Services,2023-05-17,30,delayed
CTR01567,SUP0182,1.77,Production,2022-12-12,54,delayed
CTR01568,SUP0418,0.34,R&D,2022-01-14,26,terminated
CTR01569,SUP0262,2.04,Sustainment,2020-07-25,14,active
CTR01570,SUP0007,0.76,Tech Services,2022-10-27,53,delayed
CTR01571,SUP0440,0.72,Tech Services,2024-11-19,43,active
CTR01572,SUP0123,0.35,Production,2024-11-09,27,terminated
CTR01573,SUP0007,1.54,Tech Services,2023-03-17,48,delayed
CTR01574,SUP0052,4.96,Sustainment,2024-04-11,28,completed
CTR01575,SUP0376,1.13,Tech Services,2025-01-21,54,completed
CTR01576,SUP0184,1.31,Sustainment,2022-04-13,9,completed
CTR01577,SUP0326,3.6,R&D,2020-07-04,34,terminated
CTR01578,SUP0443,0.76,R&D,2024-06-28,20,delayed
CTR01579,SUP0042,7.95,Sustainment,2021-12-06,6,terminated
CTR01580,SUP0021,2.57,Production,2022-08-22,59,delayed
CTR01581,SUP0403,2.08,Tech Services,2023-04-24,35,completed
CTR01582,SUP0461,2.86,Production,2020-06-18,34,completed
CTR01583,SUP0119,0.64,Tech Services,2020-10-13,25,active
CTR01584,SUP0401,3.33,R&D,2021-01-02,38,terminated
CTR01585,SUP0334,1.58,R&D,2023-07-20,46,terminated
CTR01586,SUP0188,7.96,R&D,2020-11-11,49,active
CTR01587,SUP0166,0.65,Tech Services,2024-02-26,41,completed
CTR01588,SUP0493,2.48,R&D,2020-09-21,27,completed
CTR01589,SUP0459,3.19,R&D,2022-10-09,18,terminated
CTR01590,SUP0430,0.12,R&D,2023-09-30,12,delayed
CTR01591,SUP0276,1.58,R&D,2024-12-20,13,completed
CTR01592,SUP0324,4.62,Production,2024-09-06,33,active
CTR01593,SUP0046,6.01,R&D,2020-06-29,50,active
CTR01594,SUP0356,1.31,R&D,2021-07-10,48,active
CTR01595,SUP0272,5.61,Production,2024-07-06,14,terminated
CTR01596,SUP0242,12.02,Production,2023-06-22,30,terminated
CTR01597,SUP0267,6.8,Tech Services,2021-01-05,21,terminated
CTR01598,SUP0369,0.44,Sustainment,2022-04-05,15,terminated
CTR01599,SUP0452,4.71,R&D,2024-04-17,16,active
CTR01600,SUP0235,1.35,R&D,2020-07-08,36,active
CTR01601,SUP0455,15.6,R&D,2021-05-25,17,terminated
CTR01602,SUP0230,2.32,Tech Services,2023-02-22,36,terminated
CTR01603,SUP0131,0.46,R&D,2024-01-26,19,active
CTR01604,SUP0336,4.52,Sustainment,2023-06-04,56,terminated
CTR01605,SUP0102,1.37,Production,2023-11-29,49,terminated
CTR01606,SUP0241,20.42,Tech Services,2024-01-20,37,terminated
CTR01607,SUP0468,13.65,Production,2020-08-24,55,terminated
CTR01608,SUP0072,3.74,R&D,2024-10-18,58,completed
CTR01609,SUP0204,0.49,R&D,2021-11-14,22,terminated
CTR01610,SUP0265,4.06,R&D,2025-01-05,40,active
CTR01611,SUP0007,0.34,Sustainment,2022-07-07,6,active
CTR01612,SUP0332,0.1,Sustainment,2021-03-28,34,active
CTR01613,SUP0267,6.06,Tech Services,2021-12-09,56,active
CTR01614,SUP0460,0.82,Production,2021-02-24,9,terminated
CTR01615,SUP0107,1.67,R&D,2021-12-23,28,completed
CTR01616,SUP0066,12.7,R&D,2020-11-26,33,delayed
CTR01617,SUP0399,1.44,R&D,2023-11-21,21,delayed
CTR01618,SUP0391,1.23,R&D,2021-04-14,17,delayed
CTR01619,SUP0330,8.76,Sustainment,2024-10-20,58,delayed
CTR01620,SUP0357,0.41,Production,2023-08-10,26,active
CTR01621,SUP0097,4.99,Production,2023-07-06,50,terminated
CTR01622,SUP0150,15.5,Tech Services,2020-12-12,22,terminated
CTR01623,SUP0029,8.1,Sustainment,2022-01-16,45,delayed
CTR01624,SUP0231,3.69,R&D,2022-07-04,18,delayed
CTR01625,SUP0277,1.32,Production,2022-08-26,57,completed
CTR01626,SUP0329,1.03,Production,2024-05-28,37,completed
CTR01627,SUP0077,5.99,Sustainment,2020-06-07,42,completed
CTR01628,SUP0302,7.42,Tech Services,2024-01-05,55,active
CTR01629,SUP0178,2.61,Tech Services,2022-06-20,20,terminated
CTR01630,SUP0376,0.98,R&D,2022-12-22,17,active
CTR01631,SUP0330,0.42,Tech Services,2023-04-08,54,active
CTR01632,SUP0444,0.32,Production,2020-05-15,20,terminated
CTR01633,SUP0049,4.44,Tech Services,2023-09-03,39,completed
CTR01634,SUP0181,1.91,R&D,2024-12-28,11,terminated
CTR01635,SUP0423,8.25,Production,2021-05-03,22,delayed
CTR01636,SUP0341,4.71,Tech Services,2022-04-04,53,completed
CTR01637,SUP0362,0.74,Tech Services,2021-10-07,54,terminated
CTR01638,SUP0328,3.33,Sustainment,2022-10-29,25,active
CTR01639,SUP0452,2.0,R&D,2021-07-11,14,terminated
CTR01640,SUP0437,3.01,Tech Services,2022-08-15,10,completed
CTR01641,SUP0248,4.69,Sustainment,2021-03-06,28,delayed
CTR01642,SUP0107,5.74,Production,2022-05-21,38,active
CTR01643,SUP0125,6.5,Sustainment,2021-05-02,43,delayed
CTR01644,SUP0067,1.03,Sustainment,2022-08-03,19,delayed
CTR01645,SUP0009,0.11,Tech Services,2021-02-15,22,active
CTR01646,SUP0461,4.71,Tech Services,2024-03-10,24,terminated
CTR01647,SUP0159,0.39,Tech Services,2023-04-13,38,terminated
CTR01648,SUP0465,1.32,Sustainment,2024-06-21,6,delayed
CTR01649,SUP0088,0.01,Production,2021-04-22,18,terminated
CTR01650,SUP0332,4.01,R&D,2021-06-27,51,completed
CTR01651,SUP0036,0.64,Sustainment,2024-12-08,32,delayed
CTR01652,SUP0390,3.73,Tech Services,2024-06-25,11,delayed
CTR01653,SUP0215,16.79,R&D,2025-01-12,11,delayed
CTR01654,SUP0255,0.26,Production,2022-09-02,38,completed
CTR01655,SUP0249,0.28,R&D,2023-01-19,35,delayed
CTR01656,SUP0120,1.46,Tech Services,2022-04-29,51,terminated
CTR01657,SUP0020,7.04,Sustainment,2022-04-13,40,terminated
CTR01658,SUP0106,0.85,Sustainment,2025-03-16,28,terminated
CTR01659,SUP0356,1.56,Tech Services,2022-08-01,15,terminated
CTR01660,SUP0249,0.25,Sustainment,2023-01-19,56,delayed
CTR01661,SUP0263,5.04,Tech Services,2023-05-01,24,completed
CTR01662,SUP0485,1.84,Sustainment,2021-04-06,56,active
CTR01663,SUP0185,4.98,Sustainment,2021-01-14,33,terminated
CTR01664,SUP0228,8.19,Sustainment,2020-09-12,28,active
CTR01665,SUP0425,0.93,Production,2021-01-03,9,active
CTR01666,SUP0454,5.76,Production,2020-08-31,25,delayed
CTR01667,SUP0043,0.21,Tech Services,2020-12-09,24,terminated
CTR01668,SUP0146,8.02,Production,2021-07-28,47,terminated
CTR01669,SUP0238,3.68,Tech Services,2024-04-09,32,terminated
CTR01670,SUP0046,7.26,R&D,2020-09-29,39,active
CTR01671,SUP0003,0.0,R&D,2024-05-06,9,terminated
CTR01672,SUP0460,0.65,Production,2023-08-06,43,terminated
CTR01673,SUP0318,1.73,R&D,2023-12-18,12,completed
CTR01674,SUP0404,1.67,R&D,2022-08-30,53,delayed
CTR01675,SUP0259,0.9,Sustainment,2022-01-28,12,terminated
CTR01676,SUP0148,1.68,Sustainment,2024-03-07,55,terminated
CTR01677,SUP0098,0.48,Tech Services,2022-11-01,57,delayed
CTR01678,SUP0446,1.86,R&D,2021-11-17,31,delayed
CTR01679,SUP0337,5.67,Tech Services,2022-11-20,31,active
CTR01680,SUP0327,2.28,Tech Services,2021-12-02,59,active
CTR01681,SUP0204,0.06,R&D,2022-07-14,24,active
CTR01682,SUP0023,1.92,Production,2021-12-15,14,delayed
CTR01683,SUP0078,0.1,R&D,2022-07-22,25,completed
CTR01684,SUP0451,11.86,Sustainment,2021-06-02,47,terminated
CTR01685,SUP0430,0.48,R&D,2022-02-03,50,delayed
CTR01686,SUP0323,4.3,Production,2022-09-01,55,completed
CTR01687,SUP0471,12.61,Tech Services,2023-09-26,21,delayed
CTR01688,SUP0297,6.12,Tech Services,2024-09-08,59,completed
CTR01689,SUP0497,4.21,Sustainment,2023-11-12,22,delayed
CTR01690,SUP0463,6.4,Sustainment,2020-09-19,27,delayed
CTR01691,SUP0200,14.02,Sustainment,2021-03-27,18,completed
CTR01692,SUP0088,3.4,Tech Services,2021-01-04,17,completed
CTR01693,SUP0345,2.87,Sustainment,2021-05-19,15,completed
CTR01694,SUP0096,3.46,R&D,2024-11-06,6,completed
CTR01695,SUP0160,2.66,Tech Services,2024-10-06,37,completed
CTR01696,SUP0060,3.53,Production,2021-10-17,35,completed
CTR01697,SUP0499,2.09,Tech Services,2021-08-07,13,completed
CTR01698,SUP0181,0.86,R&D,2023-01-17,26,completed
CTR01699,SUP0413,0.45,R&D,2022-10-23,27,delayed
CTR01700,SUP0023,0.25,Sustainment,2020-09-22,23,completed
CTR01701,SUP0386,1.07,Tech Services,2023-06-03,7,completed
CTR01702,SUP0125,0.17,Tech Services,2022-12-25,53,delayed
CTR01703,SUP0344,2.93,Tech Services,2022-12-13,49,delayed
CTR01704,SUP0147,1.17,Production,2023-12-19,14,active
CTR01705,SUP0184,6.09,Sustainment,2024-10-19,8,active
CTR01706,SUP0433,0.27,R&D,2021-02-28,59,completed
CTR01707,SUP0378,0.9,R&D,2022-12-17,31,completed
CTR01708,SUP0481,4.59,Sustainment,2022-02-07,26,active
CTR01709,SUP0063,3.2,R&D,2020-10-12,35,active
CTR01710,SUP0345,0.23,R&D,2021-01-22,33,terminated
CTR01711,SUP0106,7.34,Sustainment,2023-11-12,41,terminated
CTR01712,SUP0141,7.34,R&D,2023-12-23,31,completed
CTR01713,SUP0253,1.4,Tech Services,2023-12-22,39,terminated
CTR01714,SUP0366,1.46,Production,2024-04-12,13,active
CTR01715,SUP0034,15.79,Sustainment,2021-09-14,15,completed
CTR01716,SUP0004,3.44,Production,2025-01-31,53,delayed
CTR01717,SUP0459,2.65,R&D,2023-07-17,48,delayed
CTR01718,SUP0273,6.37,R&D,2024-07-23,55,active
CTR01719,SUP0036,1.18,Tech Services,2021-12-06,59,terminated
CTR01720,SUP0427,1.96,Sustainment,2023-05-11,19,delayed
CTR01721,SUP0019,1.09,R&D,2020-08-31,45,terminated
CTR01722,SUP0274,5.45,Sustainment,2021-08-12,20,delayed
CTR01723,SUP0192,2.98,Sustainment,2020-12-09,22,terminated
CTR01724,SUP0282,3.76,Sustainment,2021-10-30,58,delayed
CTR01725,SUP0430,1.02,Sustainment,2020-11-18,23,delayed
CTR01726,SUP0313,0.87,Sustainment,2023-09-01,37,completed
CTR01727,SUP0061,2.35,Production,2021-10-31,43,completed
CTR01728,SUP0299,4.68,Tech Services,2023-08-20,28,active
CTR01729,SUP0373,2.61,Sustainment,2022-09-16,51,delayed
CTR01730,SUP0042,0.12,Production,2024-10-22,28,terminated
CTR01731,SUP0086,7.1,R&D,2023-04-26,40,delayed
CTR01732,SUP0146,0.23,Sustainment,2024-12-12,44,terminated
CTR01733,SUP0218,10.92,R&D,2023-03-14,20,terminated
CTR01734,SUP0087,0.09,Sustainment,2022-12-19,58,delayed
CTR01735,SUP0392,4.15,Production,2023-01-05,29,terminated
CTR01736,SUP0250,0.3,Production,2022-10-28,33,active
CTR01737,SUP0005,8.45,Production,2024-02-27,21,completed
CTR01738,SUP0323,2.19,Tech Services,2022-08-05,21,terminated
CTR01739,SUP0245,0.52,R&D,2020-06-24,45,delayed
CTR01740,SUP0274,1.46,Tech Services,2024-01-15,44,completed
CTR01741,SUP0412,0.63,Sustainment,2022-04-15,11,active
CTR01742,SUP0296,0.65,R&D,2023-05-21,7,terminated
CTR01743,SUP0287,10.36,Production,2021-08-25,59,terminated
CTR01744,SUP0078,2.06,R&D,2025-01-20,18,completed
CTR01745,SUP0269,5.44,Production,2021-02-15,49,terminated
CTR01746,SUP0464,3.57,Tech Services,2020-05-26,52,delayed
CTR01747,SUP0185,3.95,Tech Services,2022-12-03,14,completed
CTR01748,SUP0481,0.49,Production,2024-08-11,39,completed
CTR01749,SUP0299,0.93,Production,2022-01-27,22,terminated
CTR01750,SUP0388,5.41,Sustainment,2025-02-10,32,active
CTR01751,SUP0096,12.36,Tech Services,2023-06-21,34,active
CTR01752,SUP0485,1.07,Tech Services,2021-05-10,42,active
CTR01753,SUP0144,1.11,Sustainment,2024-01-09,48,active
CTR01754,SUP0110,2.24,Tech Services,2022-07-31,27,completed
CTR01755,SUP0041,14.44,Production,2024-11-09,56,completed
CTR01756,SUP0341,1.1,R&D,2020-08-14,29,terminated
CTR01757,SUP0432,1.83,R&D,2021-03-09,12,active
CTR01758,SUP0367,7.77,Tech Services,2024-06-04,39,active
CTR01759,SUP0386,0.01,Sustainment,2025-03-28,53,terminated
CTR01760,SUP0012,0.14,Production,2023-08-23,17,terminated
CTR01761,SUP0342,3.24,R&D,2024-04-26,28,terminated
CTR01762,SUP0469,8.33,Production,2024-12-03,20,delayed
CTR01763,SUP0288,0.96,Tech Services,2023-02-15,38,terminated
CTR01764,SUP0413,2.22,Tech Services,2025-01-26,18,terminated
CTR01765,SUP0386,2.1,R&D,2022-07-25,28,delayed
CTR01766,SUP0017,2.24,Tech Services,2022-05-09,43,active
CTR01767,SUP0193,3.41,Sustainment,2024-10-06,37,completed
CTR01768,SUP0318,2.22,Tech Services,2024-06-28,50,active
CTR01769,SUP0292,2.08,Tech Services,2023-07-28,55,completed
CTR01770,SUP0170,2.25,Tech Services,2020-09-23,40,completed
CTR01771,SUP0320,3.13,Production,2021-07-10,6,terminated
CTR01772,SUP0077,2.7,Production,2024-01-05,52,terminated
CTR01773,SUP0080,6.74,R&D,2020-08-31,50,delayed
CTR01774,SUP0489,0.18,R&D,2020-05-23,10,active
CTR01775,SUP0384,6.27,R&D,2022-01-03,18,active
CTR01776,SUP0312,6.5,Tech Services,2021-03-28,59,completed
CTR01777,SUP0420,1.17,Production,2024-10-03,10,terminated
CTR01778,SUP0075,2.18,Sustainment,2024-08-19,37,terminated
CTR01779,SUP0500,2.02,Tech Services,2022-09-15,56,active
CTR01780,SUP0080,0.86,Tech Services,2024-05-15,26,delayed
CTR01781,SUP0260,1.77,Tech Services,2024-08-31,29,terminated
CTR01782,SUP0266,0.16,Sustainment,2020-10-04,23,delayed
CTR01783,SUP0008,1.14,R&D,2020-06-30,26,active
CTR01784,SUP0185,5.94,Sustainment,2025-02-15,59,active
CTR01785,SUP0168,1.17,R&D,2022-02-04,15,delayed
CTR01786,SUP0068,5.97,Sustainment,2022-06-27,29,terminated
CTR01787,SUP0088,2.65,Production,2023-08-05,45,active
CTR01788,SUP0296,7.42,Tech Services,2022-11-17,52,completed
CTR01789,SUP0378,2.99,Tech Services,2021-06-28,26,active
CTR01790,SUP0300,0.11,Tech Services,2021-04-15,30,terminated
CTR01791,SUP0428,3.94,R&D,2020-10-14,57,completed
